ts,symbol,strategy,regime,signal,intent,size_usd,price,ml_p_up,ml_vote,veto,reasons,planned_stop,planned_tp,run_id
1760558664,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.62,0.9999895622232035,neutral,1,breaker:daily_loss,,,
1760558658,BTC/USDT,ema_trend,trend,hold,hold,0.0,111447.04,5.177601234108931e-151,veto,1,"ml_veto,breaker:daily_loss",,,
1760558652,ETH/USDT,blocked,panic,hold,hold,0.0,3993.3,0.32050922914284397,neutral,1,"regime:panic,breaker:panic",,,
1760558623,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.82,0.9999893919558858,neutral,1,breaker:daily_loss,,,
1760558617,BTC/USDT,ema_trend,trend,hold,hold,0.0,111474.2,1.647118262235852e-151,veto,1,"ml_veto,breaker:daily_loss",,,
1760558611,ETH/USDT,blocked,panic,hold,hold,0.0,3992.03,0.3199653997886048,neutral,1,"regime:panic,breaker:panic",,,
1760558582,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.43,0.9999894150848031,neutral,1,breaker:daily_loss,,,
1760558575,BTC/USDT,ema_trend,trend,hold,hold,0.0,111454.01,1.779584381446163e-151,veto,1,"ml_veto,breaker:daily_loss",,,
1760558568,ETH/USDT,blocked,panic,hold,hold,0.0,3991.94,0.3177057175315446,neutral,1,"regime:panic,breaker:panic",,,
1760558539,SOL/USDT,ema_trend,trend,hold,hold,0.0,195.39,0.9999894947399054,neutral,1,breaker:daily_loss,,,
1760558534,BTC/USDT,ema_trend,trend,hold,hold,0.0,111434.38,3.0448726788414108e-151,veto,1,"ml_veto,breaker:daily_loss",,,
1760558527,ETH/USDT,blocked,panic,hold,hold,0.0,3990.61,0.3246685649688684,neutral,1,"regime:panic,breaker:panic",,,
1760558499,SOL/USDT,blocked,panic,hold,hold,0.0,195.61,0.9999890784679687,boost,1,"regime:panic,breaker:panic",,,
1760558493,BTC/USDT,ema_trend,trend,hold,hold,0.0,111492.74,3.968159616098888e-152,veto,1,"ml_veto,breaker:daily_loss",,,
1760558486,ETH/USDT,blocked,panic,hold,hold,0.0,3991.15,0.3144119970784614,neutral,1,"regime:panic,breaker:panic",,,
1760558457,SOL/USDT,rsi_mean_revert,chop,hold,hold,0.0,195.06,0.9999889946004438,boost,1,breaker:daily_loss,,,
1760558451,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111388.75,4.467811304427783e-151,neutral,1,breaker:daily_loss,,,
1760558445,ETH/USDT,blocked,panic,hold,hold,0.0,3986.26,0.3366610446839589,neutral,1,"regime:panic,breaker:panic",,,
1760558416,SOL/USDT,rsi_mean_revert,chop,hold,hold,0.0,194.76,0.9999889069445057,boost,1,breaker:daily_loss,,,
1760558409,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111355.1,1.1231546546014019e-150,neutral,1,breaker:daily_loss,,,
