ts,exchange,symbol,interval,strategy,signal,price,bars_used,ann_return,ann_vol,sharpe_ann,max_drawdown,win_rate_bar,profit_factor_bar,trade_count,avg_bar_return,paper_equity
2025-09-10T17:16:44.917874+00:00,binance,SOL/USDT,15m,donchian,FLAT,223.36000000,1000,0.3691079068456755,0.12303392512182533,2.553444465853057,-0.01846532323460215,0.4666666666666667,1.5041531213100254,18,8.965775490671187e-06,1000.00
2025-09-10T18:03:52.179563+00:00,binance,SOL/USDT,15m,donchian,FLAT,223.10000000,1000,0.3691079068456755,0.12303392512182533,2.5534444658530577,-0.01846532323460215,0.4666666666666667,1.5041531213100254,18,8.96577549067119e-06,1000.00
