ts,symbol,signal,price,ret_est,pos_frac,equity_before,equity_after
2025-09-04T13:30:51.347174+00:00,BTC/USDT,FLAT,110694.90000000,-0.00215480,0.0000,993.12,993.12
2025-09-04T13:37:47.048022+00:00,BTC/USDT,FLAT,110672.00000000,-0.00236123,0.0000,993.12,993.12
2025-09-04T13:38:25.155646+00:00,BTC/USDT,FLAT,110682.01000000,-0.00227099,0.0000,993.12,993.12
2025-09-04T15:12:34.145528+00:00,BTC/USDT,LONG,109460.00000000,-0.00347781,1.0000,993.12,989.67
2025-09-04T15:42:40.145860+00:00,BTC/USDT,FLAT,109546.42000000,-0.00269105,0.0000,989.67,989.67
2025-09-10T17:16:26.087321+00:00,BTC/USDT,FLAT,113995.20000000,0.00206848,0.0000,989.67,989.67
2025-09-10T17:57:36.762424+00:00,BTC/USDT,FLAT,113708.00000000,-0.00045614,0.0000,989.67,989.67
2025-09-10T18:03:33.229870+00:00,BTC/USDT,FLAT,113873.03000000,0.00118711,0.0000,989.67,989.67
